,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_optimizer,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.4734978675842285,0.42624058155464656,0.8926143646240234,0.45269322825092245,32,15,RMSprop,0.001,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.001}",0.8051948051948052,0.9285714285714286,0.9673202614379085,0.934640522875817,0.8888888888888888,0.9049231813937695,0.05574693378614681,11
1,5.268246746063232,0.2352185342792712,0.5128089904785156,0.007702157875360138,32,15,RMSprop,0.01,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.01}",0.6818181818181818,0.6753246753246753,0.5098039215686274,0.5490196078431373,0.6405228758169934,0.6112978524743231,0.06943522254517265,61
2,5.078763246536255,0.06214073260429665,0.5175251960754395,0.008324825661544267,32,15,RMSprop,0.1,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.1}",0.7142857142857143,0.487012987012987,0.7189542483660131,0.7124183006535948,0.6470588235294118,0.6559460147695442,0.08852121457446294,39
3,5.157932615280151,0.19587576731889533,0.5191183090209961,0.007998735400992319,32,15,RMSprop,0.2,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.2}",0.6298701298701299,0.6558441558441559,0.7908496732026143,0.5098039215686274,0.5359477124183006,0.6244631185807656,0.09967968641334453,49
4,5.12676968574524,0.12505659512542558,0.5110278129577637,0.004205865875782,32,15,RMSprop,0.3,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.3}",0.577922077922078,0.6883116883116883,0.5098039215686274,0.7516339869281046,0.5294117647058824,0.6114166878872761,0.0935367121960258,60
5,5.124142742156982,0.07642731096708046,0.5169668197631836,0.00327530312157471,32,15,RMSprop,0.05,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.05}",0.7467532467532467,0.551948051948052,0.8431372549019608,0.7647058823529411,0.5098039215686274,0.6832696715049656,0.12927134187344252,35
6,6.026499652862549,0.450806427411351,0.5157486438751221,0.00848755916010125,32,15,adam,0.001,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'adam', 'optimizer__learning_rate': 0.001}",0.935064935064935,0.8961038961038961,0.9411764705882353,0.954248366013072,0.934640522875817,0.9322468381291911,0.019410251004704285,6
7,5.655403757095337,0.0312815869433511,0.5159518241882324,0.002081281949541865,32,15,adam,0.01,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'adam', 'optimizer__learning_rate': 0.01}",0.7207792207792207,0.8571428571428571,0.5359477124183006,0.8235294117647058,0.7124183006535948,0.7299635005517358,0.11221718189607913,29
8,5.744711303710938,0.23659219056050806,0.5135156154632569,0.009853459203184726,32,15,adam,0.1,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'adam', 'optimizer__learning_rate': 0.1}",0.551948051948052,0.512987012987013,0.6797385620915033,0.5098039215686274,0.5098039215686274,0.5528562940327646,0.06541637099702305,93
9,5.635162210464477,0.04233470240336228,0.5226107597351074,0.010808882232892413,32,15,adam,0.2,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'adam', 'optimizer__learning_rate': 0.2}",0.512987012987013,0.512987012987013,0.49019607843137253,0.9019607843137255,0.5098039215686274,0.5855869620575503,0.1584148923073837,70
10,5.837885475158691,0.286683743135448,0.5225649833679199,0.01082815132387684,32,15,adam,0.3,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'adam', 'optimizer__learning_rate': 0.3}",0.5454545454545454,0.525974025974026,0.803921568627451,0.5228758169934641,0.5359477124183006,0.5868347338935573,0.10883314897966682,67
11,5.7039793014526365,0.07416769322396519,0.5195648670196533,0.011117259290076105,32,15,adam,0.05,"{'batch_size': 32, 'epochs': 15, 'optimizer': 'adam', 'optimizer__learning_rate': 0.05}",0.512987012987013,0.7532467532467533,0.5359477124183006,0.5294117647058824,0.5294117647058824,0.5722010016127663,0.0908405187141185,78
12,6.077931690216064,0.06611618883357312,0.524753999710083,0.0098722050372877,32,20,RMSprop,0.001,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.001}",0.8961038961038961,0.922077922077922,0.9084967320261438,0.9738562091503268,0.9150326797385621,0.9231134878193702,0.026774477467432518,7
13,6.224299526214599,0.3759439275565141,0.527367115020752,0.02426504506504867,32,20,RMSprop,0.01,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.01}",0.7987012987012987,0.5,0.5163398692810458,0.7843137254901961,0.5098039215686274,0.6218317630082335,0.1387119145320477,52
14,6.0148252010345455,0.08701998556278497,0.5526633739471436,0.06708704998130503,32,20,RMSprop,0.1,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.1}",0.487012987012987,0.5909090909090909,0.8562091503267973,0.8104575163398693,0.5294117647058824,0.6548001018589253,0.1501676714676945,41
15,6.043764972686768,0.1597537906988244,0.5151915550231934,0.000629768494625589,32,20,RMSprop,0.2,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.2}",0.5909090909090909,0.551948051948052,0.7843137254901961,0.6078431372549019,0.5620915032679739,0.6194211017740429,0.08482435581795388,55
